식품명,식품대분류명,kcal,protein_g,fat_g,carb_g,sodium_mg,water_g,ash_g,sugar_g,dietary_fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,alpha_linolenic_acid_g,linoleic_acid_g,omega3_g,omega6_g,oleic_acid_mg
피자_뉴욕스테이크 피자 (L),빵 및 과자류,164.0,9.96,0.0,0.0,272.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴욕페퍼로니 피자,빵 및 과자류,290.0,14.69,11.24,36.18,417.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,20.4,5.11,0.25,0.0,0.0,0.0,0.0,0.0
피자_뉴욕핫독 피자 (L),빵 및 과자류,249.00000000000003,13.29,0.0,0.0,430.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴욕핫독 피자 (R),빵 및 과자류,250.0,13.04,0.0,0.0,433.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴클리어 피자 (L),빵 및 과자류,245.00000000000003,11.09,0.0,0.0,359.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0
피자_니가가라하와이 피자 (L),빵 및 과자류,263.0,12.9,0.0,0.0,280.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0
피자_니가가라하와이 피자 (M),빵 및 과자류,263.0,12.9,0.0,0.0,280.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0
피자_다넣었어 피자 (L),빵 및 과자류,93.0,3.7599999999999993,0.0,0.0,135.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0
피자_다이나믹고구마무스 피자 (L),빵 및 과자류,291.0,13.0,0.0,0.0,331.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
피자_단짠반반 피자 (L),빵 및 과자류,263.0,9.57,0.0,0.0,347.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.0,0.0,0.0
피자_단짠반반 피자 (R),빵 및 과자류,269.0,9.95,0.0,0.0,359.0,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0
피자_단짠콘후라이 피자 (L),빵 및 과자류,240.0,11.57,0.0,0.0,347.0,0.0,0.0,3.3099999999999996,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0
피자_단짠콘후라이 피자 (M),빵 및 과자류,240.0,11.46,0.0,0.0,344.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 (L),빵 및 과자류,240.75,7.5,0.0,0.0,360.25,0.0,0.0,6.404999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.285,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 (M),빵 및 과자류,212.0,9.24,0.0,0.0,422.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 (R),빵 및 과자류,242.0,8.79,0.0,0.0,275.0,0.0,0.0,0.9899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 라이스골드 (F),빵 및 과자류,254.0,14.2,0.0,0.0,156.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 라이스골드 (L),빵 및 과자류,267.0,13.95,0.0,0.0,119.0,0.0,0.0,3.7900000000000005,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 라이스골드 (R),빵 및 과자류,273.0,14.56,0.0,0.0,120.0,0.0,0.0,3.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 라이스바이트 (F),빵 및 과자류,262.0,13.29,0.0,0.0,200.0,0.0,0.0,3.9800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 라이스바이트 (L),빵 및 과자류,269.0,13.720000000000002,0.0,0.0,89.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0
피자_단호박 피자 백미 (L),빵 및 과자류,192.0,7.33,0.0,0.0,111.00000000000001,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0
